LU,Altura (cm),Sexo al nacer (M/F),altura madre,,,,,,,,,,,,
1230/24,153,F,152,,,,,,,,,,,,
1390/24,154,M,152,,,,,,,,,,,,
1240/23,160,F,154,,,,,,,,,,,,
35/24,171,F,154,,,,,,,,,,,,
732/24,164,F,155,,,,,,,,,,,,
1134/23,172,M,155,,,,,,,,,,,,
394/23,172,M,156,,,,,,,,,,,,
262/23,174,M,158,,,,,,,,,,,,
707/22,174,M,158,,,,,,,,,,,,
4/24,172,M,160,,,,,,,,,,,,
656/24,176,M,160,,,,,,,,,,,,
1143/22,156,F,161,,,,,,,,,,,,.
390/14,181,M,161,,,,,,,,,,,,
874/24,168,F,162,,,,,,,,,,,,
724/24,173,M,162,,,,,,,,,,,,
1338/24,174,M,162,,,,,,,,,,,,
611/24,174,M,162,,,,,,,,,,,,
119/23,166,F,163,,,,,,,,,,,,
83/23,170,F,163,,,,,,,,,,,,
486/24,160,F,163,,,,,,,,,,,,
362/23,176,M,163,,,, ,,,,,,,,
50/23,171,M,163,,,,,,,,,,,,
1212/23,170,M,163,,,,,,,,,,,,
1058/23,171,M,163,,,,,,,,,,,,
471/22,171,M,164,,,,,,,,,,,,
1122/24,176,M,164,,,,,,,,,,,,
19/23,178,M,164,,,,,,,,,,,,
721/23,183,M,164,,,,,,,,,,,,
1188/22,183,M,165,,,,,,,,,,,,
25/24,170,M,165,,,,,,,,,,,,
1344/23,180,M,167,,,,,,,,,,,,
1375/23,173,M,168,,,,,,,,,,,,
1446/23,183,M,168,,,,,,,,,,,,
696/23,172,F,170,,,,,,,,,,,,
810/23,173,M,170,,,,,,,,,,,,
573/21,172,M,170,,,,,,,,,,,,
602/24,164,F,178,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
