Provincia,Departamento,Jardines,Poblacion_Jardin,Primarias,Poblacion_Primaria,Secundarias,Poblacion_Secundaria
Chaco,12 de Octubre,23.0,2262,31.0,2450,15.0,2724
Chaco,1º de Mayo,8.0,1360,12.0,1577,7.0,1495
Chaco,2 de Abril,8.0,745,17.0,783,5.0,880
Misiones,25 de Mayo,45.0,3369,68.0,3671,36.0,3903
Río Negro,25 de Mayo,13.0,1353,14.0,1600,13.0,1884
San Juan,25 de Mayo,22.0,2294,22.0,2553,17.0,3050
Chaco,25 de Mayo,22.0,3301,40.0,3902,12.0,4429
Buenos Aires,25 de Mayo,38.0,2706,47.0,3189,20.0,3782
San Juan,9 de Julio,5.0,1295,5.0,1488,2.0,1606
Río Negro,9 de Julio,8.0,274,7.0,354,7.0,375
Buenos Aires,9 de Julio,34.0,3963,38.0,4895,22.0,5934
Santa Fe,9 de Julio,61.0,2720,77.0,3104,18.0,3817
Chaco,9 de Julio,26.0,2987,44.0,3073,11.0,3552
Río Negro,Adolfo Alsina,40.0,4517,35.0,6136,33.0,7034
Buenos Aires,Adolfo Alsina,18.0,1292,23.0,1463,13.0,1671
Buenos Aires,Adolfo Gonzales Chaves,13.0,950,16.0,1184,11.0,1387
Santiago del Estero,Aguirre,10.0,804,13.0,908,6.0,1097
San Juan,Albardón,13.0,2958,13.0,3634,8.0,4162
Santiago del Estero,Alberdi,36.0,2298,58.0,2442,23.0,2781
Buenos Aires,Alberti,10.0,904,13.0,1166,7.0,1410
Chaco,Almirante Brown,35.0,4089,62.0,4305,19.0,5388
Buenos Aires,Almirante Brown,133.0,43762,137.0,58015,152.0,68125
Neuquén,Aluminé,12.0,878,13.0,1032,7.0,1197
Catamarca,Ambato,12.0,374,18.0,365,5.0,475
Catamarca,Ancasti,9.0,243,28.0,286,5.0,370
Catamarca,Andalgalá,17.0,1535,26.0,1720,16.0,2368
San Juan,Angaco,12.0,969,12.0,1181,10.0,1363
Salta,Anta,55.0,7052,57.0,8007,27.0,9023
Catamarca,Antofagasta de la Sierra,4.0,142,5.0,203,3.0,212
Misiones,Apóstoles,33.0,5262,34.0,5788,18.0,6448
La Rioja,Arauco,14.0,1353,13.0,1645,10.0,1863
Buenos Aires,Arrecifes,18.0,2644,20.0,3046,11.0,3457
Santiago del Estero,Atamisqui,26.0,1520,26.0,1820,15.0,2228
La Pampa,Atreucó,8.0,769,8.0,980,8.0,1168
Santiago del Estero,Avellaneda,30.0,2758,52.0,3000,28.0,3758
Buenos Aires,Avellaneda,120.0,22784,93.0,31635,94.0,37923
Río Negro,Avellaneda,24.0,3407,29.0,4196,19.0,4870
Buenos Aires,Ayacucho,20.0,1699,36.0,2051,14.0,2541
San Luis,Ayacucho,15.0,2003,44.0,2327,38.0,2914
Buenos Aires,Azul,37.0,5390,55.0,7022,34.0,8263
Neuquén,Añelo,6.0,1908,9.0,2170,7.0,2191
Buenos Aires,Bahía Blanca,95.0,22621,94.0,29136,102.0,33554
Buenos Aires,Balcarce,31.0,3638,38.0,4356,23.0,4982
Santiago del Estero,Banda,120.0,16118,105.0,18598,71.0,20112
Buenos Aires,Baradero,29.0,3225,27.0,3706,21.0,4484
Río Negro,Bariloche,72.0,11266,71.0,14905,57.0,16295
Santa Fe,Belgrano,17.0,3597,28.0,4246,15.0,4950
Santiago del Estero,Belgrano,7.0,1033,12.0,1115,6.0,1252
San Luis,Belgrano,7.0,444,25.0,561,26.0,635
Corrientes,Bella Vista,37.0,4397,37.0,4808,14.0,5139
Catamarca,Belén,43.0,2482,57.0,2993,31.0,3870
Buenos Aires,Benito Juárez,11.0,1608,13.0,1912,12.0,2380
Buenos Aires,Berazategui,101.0,25806,92.0,35310,105.0,41619
Buenos Aires,Berisso,25.0,7704,28.0,10089,29.0,11412
Formosa,Bermejo,47.0,1763,60.0,2028,22.0,2207
Chaco,Bermejo,23.0,2560,31.0,2968,19.0,3256
Corrientes,Berón de Astrada,3.0,231,5.0,265,4.0,324
Chubut,Biedma,30.0,8111,27.0,10375,25.0,12276
Buenos Aires,Bolívar,30.0,2830,37.0,3296,18.0,3767
Buenos Aires,Bragado,18.0,3360,22.0,4108,17.0,4902
Buenos Aires,Brandsen,20.0,2588,22.0,3406,18.0,4101
Tucumán,Burruyacú,57.0,4330,57.0,5233,46.0,5743
Salta,Cachi,16.0,832,16.0,1080,6.0,1039
Salta,Cafayate,11.0,1430,10.0,2036,10.0,2229
Misiones,Cainguás,88.0,6425,99.0,7497,61.0,8031
Córdoba,Calamuchita,54.0,5902,67.0,7284,30.0,8294
La Pampa,Caleu Caleu,2.0,194,3.0,272,1.0,336
San Juan,Calingasta,16.0,1104,17.0,1255,15.0,1337
Buenos Aires,Campana,40.0,8120,42.0,10711,49.0,12722
Misiones,Candelaria,23.0,3758,30.0,4296,15.0,4620
Catamarca,Capayán,26.0,1697,29.0,1892,15.0,2395
Catamarca,Capital,51.0,14250,46.0,17212,58.0,20464
