Nombre,Domicilio,ID_DEPTO,Mail,Capacidad
Oihoy Casa Abierta,14 De Julio 426,02000,oihoy,0.0
Carpe Diem,15 De Noviembre De 1889 1774,02000,,0.0
Casa Cultural Victor Jara,24 De Noviembre 2273,02000,gmail,80.0
El Tanque Cultural,Acassuso 6930,02000,gmail,300.0
Espacio Cultural Urbano,Acevedo 460,02000,gmail,140.0
Emergente Club Almagro,Francisco Acuña de Figueroa 1030,02000,gmail,250.0
La Casa De Teresa Israel,Francisco Acuña de Figueroa 795,02000,,0.0
Centro Cultural La Grieta,Adolfo Alsina 2143,02000,,
Centro Cultural Raices,Agrelo 3045,02000,yahoo,60.0
Alcarajo Centro Cultural,Agrelo 4019,02000,gmail,0.0
Centro Cultural Atlantix,Aguero 1215,02000,atlantix,0.0
Cc Molokai,Agüero 250,02000,,0.0
Mi Casa,Aguero 793,02000,gmail,150.0
Espacio Cafferana 86,Agustín Cafferena 86,02000,,
La Casona De Los Amigos,Alberdi. Juan Bautista Av. 2020,02000,yahoo,150.0
La Casa De Luca Prodan,Alsina. Adolfo 451,02000,hotmail,0.0
Club 921,Alsina. Adolfo 921,02000,hotmail,300.0
Centro Cultural Mamita,Alvarez Thomas Av. 487,02000,gmail,450.0
Espacio Simona,Alvarez Thomas Av. 661,02000,gmail,100.0
Casa Jache,Aranguren. Juan F.. Dr. 213,02000,gmail,130.0
Centro Cultural Che Pugliese,Araoz 234,02000,,
Casa De Arcos,Arcos 2889,02000,casadearcos,130.0
Centro Cultural Manuel Ugarte,Argerich 3128,02000,,
Espacio Cultural Resurgimiento,Artigas. Jose Gervasio. Gral. 2262,02000,fibertel,0.0
Teatrarte,Asuncion 4168,02000,yahoo,50.0
"Centro Cultural ""MALVINAS ARGENTINAS""",Av. de los Corrales 7228,02000,,
Centro Cultural Din,Avalos 1090,02000,,0.0
El Cultural Masala,Avalos 1210,02000,gmail,50.0
La Instalacion,Avalos 1238,02000,yahoo,100.0
Dumont,Ayacucho 920,02000,hotmail,220.0
Estación De Los Deseos,Bacacay 1626,02000,,
Espacio Cultural Dinamo,Baldomero Fernández Moreno 1565,02000,hotmail,80.0
Fundacion Hastinapura,"Beiro, Av.  4915",02000,hastinapura,25.0
E.C.U Espacio Cultural Uocra,Belgrano Av. 1870,02000,,0.0
Casa Belgrado,"Belgrano, Av.  2915",02000,gmail,
CENTRO CULTURAL ASOCIACIÓN MUTUAL HOMERO MANZI,"Belgrano, Av. 3540",02000,gmail,
Besares Club De Cultura,Besares 1840,02000,hotmail,145.0
Espacio Cultural Centro Comunitario Juanito Laguna,Besares 3923,02000,,
Asociacion Civil Centro Cultural Deodoro Roca,Billinghurst 385,02000,hotmail,20.0
Kowalski Club De Cultura,Billinghurst 835,02000,gmail,60.0
Ritmos Sabrosos,Boedo Av. 1886,02000,gmail,100.0
Centro Cultural Gran Sur ,Boedo Av. 1993,02000,gmail,150.0
La Madriguera,"Boedo, Av. 1223",02000,gmail,
Centro Cultural El Surco,"Boedo, Av. 830",02000,gmail,100.0
Bolivar 852,Bolivar 852,02000,gmail,120.0
Espacio Boliv.ar,Bolivar y Mexico ,02000,gmail,
Dragon,Bonpland 1690,02000,gmail,0.0
Casa Cultural Pepa Noia,Brasil 444,02000,yahoo,300.0
Paprika,Bulnes 1757,02000,gmail,50.0
Espacio Moebius,Bulnes 658,02000,moebiuseditora,0.0
El Desparrame,Cabildo Av. 592,02000,gmail,150.0
"Escuela Popular de Arte ""Esther Ballestrino""",Caboto 1379,02000,gmail,
Casa Cultural De Anibal Troilo Multiespacio Cultural,Cabrera. Jose A. 2937,02000,,80.0
Casa De La Provincia De Buenos Aires,Callao Av. 237,02000,,0.0
CAMARGO 1020 ESPACIO DE ARTE,Camargo 1020,02000,gmail,
Club Premier,Campichuelo 472,02000,clubpremier,451.0
Auditorio ATE Capital,Carlos Calvo 1378,02000,,
Ideas Descabelladas,Carlos Calvo 3776,02000,,
Centro Kultural Trivenchi,Caseros Av. 1712,02000,gmail,200.0
Espacio Cultural Del Sur,Caseros Av. 1750,02000,yahoo,0.0
Centro Cultural El Cantaro,Caseros Av. 2516,02000,gmail,0.0
El Mas Aca Club Cultural,Caseros Av. 514,02000,elmasacaclub,150.0
Centro Cultural G.I.T.,Castro Barros 1046,02000,,0.0
Centro Cultural Comunarte,CASTRO BARROS 236,02000,yahoo,
La Conversa,Castro Barros 809,02000,,
Sigue La Polilla,Castro Barros 878,02000,gmail,233.0
Fundación Naum Knop,Catamarca 1747,02000,,
Cátulo. Casa Cultural,Cátulo Castillo 2480,02000,hotmail,
Universidad Popular de Belgrano Alfredo Fazio y Biblioteca Popular,Céspedes 3929,02000,upebe,
Dottore Malatesta,Chacabuco 917,02000,hotmail,150.0
