ID,Nombre,Provincia
02000,Ciudad de Buenos Aires,Ciudad de Buenos Aires
06007,Adolfo Alsina,Buenos Aires
06014,Adolfo Gonzales Chaves,Buenos Aires
06021,Alberti,Buenos Aires
06028,Almirante Brown,Buenos Aires
06035,Avellaneda,Buenos Aires
06042,Ayacucho,Buenos Aires
06049,Azul,Buenos Aires
06056,Bahía Blanca,Buenos Aires
06063,Balcarce,Buenos Aires
06070,Baradero,Buenos Aires
06077,Arrecifes,Buenos Aires
06084,Benito Juárez,Buenos Aires
06091,Berazategui,Buenos Aires
06098,Berisso,Buenos Aires
06105,Bolívar,Buenos Aires
06112,Bragado,Buenos Aires
06119,Brandsen,Buenos Aires
06126,Campana,Buenos Aires
06134,Cañuelas,Buenos Aires
06140,Capitán Sarmiento,Buenos Aires
06147,Carlos Casares,Buenos Aires
06154,Carlos Tejedor,Buenos Aires
06161,Carmen de Areco,Buenos Aires
06168,Castelli,Buenos Aires
06175,Colón,Buenos Aires
06182,Coronel de Marina Leonardo Rosales,Buenos Aires
06189,Coronel Dorrego,Buenos Aires
06196,Coronel Pringles,Buenos Aires
06203,Coronel Suárez,Buenos Aires
06210,Chacabuco,Buenos Aires
06218,Chascomús,Buenos Aires
06224,Chivilcoy,Buenos Aires
06231,Daireaux,Buenos Aires
06238,Dolores,Buenos Aires
06245,Ensenada,Buenos Aires
06252,Escobar,Buenos Aires
06260,Esteban Echeverría,Buenos Aires
06266,Exaltación de la Cruz,Buenos Aires
06270,Ezeiza,Buenos Aires
06274,Florencio Varela,Buenos Aires
06277,Florentino Ameghino,Buenos Aires
06280,General Alvarado,Buenos Aires
06287,General Alvear,Buenos Aires
06294,General Arenales,Buenos Aires
06301,General Belgrano,Buenos Aires
06308,General Guido,Buenos Aires
06315,General Juan Madariaga,Buenos Aires
06322,General La Madrid,Buenos Aires
06329,General Las Heras,Buenos Aires
06336,General Lavalle,Buenos Aires
06343,General Paz,Buenos Aires
06351,General Pinto,Buenos Aires
06357,General Pueyrredón,Buenos Aires
06364,General Rodríguez,Buenos Aires
06371,General San Martín,Buenos Aires
06385,General Viamonte,Buenos Aires
06392,General Villegas,Buenos Aires
06399,Guaminí,Buenos Aires
06406,Hipólito Yrigoyen,Buenos Aires
06408,Hurlingham,Buenos Aires
06410,Ituzaingó,Buenos Aires
06412,José C. Paz,Buenos Aires
06413,Junín,Buenos Aires
06420,La Costa,Buenos Aires
06427,La Matanza,Buenos Aires
06434,Lanús,Buenos Aires
06441,La Plata,Buenos Aires
06448,Laprida,Buenos Aires
06455,Las Flores,Buenos Aires
06462,Leandro N. Alem,Buenos Aires
06466,Lezama,Buenos Aires
06469,Lincoln,Buenos Aires
06476,Lobería,Buenos Aires
06483,Lobos,Buenos Aires
06490,Lomas de Zamora,Buenos Aires
06497,Luján,Buenos Aires
06505,Magdalena,Buenos Aires
06511,Maipú,Buenos Aires
06515,Malvinas Argentinas,Buenos Aires
06518,Mar Chiquita,Buenos Aires
06525,Marcos Paz,Buenos Aires
06532,Mercedes,Buenos Aires
06539,Merlo,Buenos Aires
06547,Monte,Buenos Aires
06553,Monte Hermoso,Buenos Aires
06560,Moreno,Buenos Aires
06568,Morón,Buenos Aires
06574,Navarro,Buenos Aires
06581,Necochea,Buenos Aires
06588,9 de Julio,Buenos Aires
06595,Olavarría,Buenos Aires
06602,Patagones,Buenos Aires
06609,Pehuajó,Buenos Aires
06616,Pellegrini,Buenos Aires
06623,Pergamino,Buenos Aires
06630,Pila,Buenos Aires
06638,Pilar,Buenos Aires
06644,Pinamar,Buenos Aires
06648,Presidente Perón,Buenos Aires
06651,Puan,Buenos Aires
06655,Punta Indio,Buenos Aires
06658,Quilmes,Buenos Aires
06665,Ramallo,Buenos Aires
06672,Rauch,Buenos Aires
06679,Rivadavia,Buenos Aires
06686,Rojas,Buenos Aires
06693,Roque Pérez,Buenos Aires
06700,Saavedra,Buenos Aires
06707,Saladillo,Buenos Aires
